pattern,treat,category,subcategory,merchant,note
ヤチン|家賃,expense,住まい,家賃,家賃（SMBC 口座振替）,家賃。台帳には銀行明細でしか入らない
^電気,expense,水道・光熱,電気,関西電力,摘要内容の「７ネン　８ガツブン」は令和7年8月分。表示は引き落とし日基準
^水道,expense,水道・光熱,水道,大阪市水道局,
^ガス,expense,水道・光熱,ガス,ガス,
^電話,expense,通信,携帯,ソフトバンクモバイル,
^手数料,expense,その他,銀行手数料,三菱UFJ銀行 手数料,
ラクテンカ－ド|ラクテンカード|楽天カード,card_settlement,,,楽天カード引き落とし,⚠️ 除外。中身は e-navi の明細で1件ずつ持っている。取り込むとカード分が二重計上になる
カードＣ|ＡＴＭ|ATM,cash_withdrawal,,,ATM引き出し,⚠️ 除外。使った先は Zaim のレシートで持っている。取り込むと現金分が二重計上になる
ラクテンシヨウケン|ム－ム－シヨウケン|シヨウケン|証券,investment_transfer,,,証券口座との入出金,⚠️ 除外（支出ではない）。楽天証券への入金＝投資
^給料|^賞与,income,,,給与,収入として MonthlyIncome（source=bank）へ。Zaim の収入が 2025-04 で止まっているのを埋める
^利息,ignore,,,利息,数十円。無視
